group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0077,219,1540,3055,1437,10000,577,1029,3812,1744,3873,1,2614,3338,1990,5960,9389,212399,3406,1266,3432
intervention--0078,152,1484,2962,1402,10000,547,928,3748,1679,3774,1,2489,2839,1779,5828,9420,221295,3168,1114,3312
intervention--0079,195,1543,3068,1492,10000,606,932,3761,1723,3912,1,2622,3252,2020,5907,9360,215095,3393,1209,3260
intervention--0080,197,1598,3014,1510,10000,576,989,3766,1712,4101,1,2621,3392,2032,6090,9414,211308,3498,1287,3305
intervention--0081,185,1635,3064,1542,10000,594,1027,3803,1694,3923,1,2657,3267,1982,5999,9409,213464,3369,1230,3245
intervention--0082,216,1620,3054,1515,10000,611,1066,3743,1714,4083,1,2711,3437,2107,6075,9394,210192,3665,1341,3384
intervention--0083,180,1510,3055,1441,10000,583,1019,3745,1657,3915,1,2611,3316,1911,5986,9433,215954,3284,1134,3267
intervention--0084,137,1486,2938,1307,10000,524,891,3734,1489,3591,1,2391,2673,1714,5565,9399,223081,2911,1046,3060
intervention--0085,222,1617,2998,1584,10000,592,1038,3857,1692,4000,1,2682,3498,2068,6055,9435,210983,3648,1240,3416
intervention--0086,230,1623,3093,1709,10000,635,1075,3856,1717,4226,1,2800,3669,2112,6111,9433,208310,3899,1213,3502
intervention--0087,185,1510,3021,1396,10000,538,967,3804,1652,3878,1,2514,3132,1984,5923,9416,216622,3340,1127,3351
intervention--0088,159,1490,2925,1396,10000,570,1010,3692,1632,3825,1,2471,3020,1830,5772,9432,219077,3262,1155,3295
intervention--0089,212,1601,3135,1553,10000,617,1072,3791,1784,4100,1,2720,3501,1983,6062,9380,211373,3573,1308,3416
intervention--0090,174,1553,2974,1452,10000,566,1028,3788,1557,3822,1,2525,3196,1983,5986,9380,216120,3462,1226,3266
intervention--0091,158,1537,2965,1389,10000,569,882,3715,1609,3572,1,2407,2871,1781,5681,9394,219963,3043,1067,3190
