group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0072,215,1573,3007,1498,10000,568,1010,3875,1715,3860,1,2610,3280,2064,5946,9422,214696,3379,1188,3440
intervention--0073,177,1574,3036,1467,10000,615,996,3781,1710,3956,1,2682,3354,1896,6052,9458,215768,3389,1232,3284
intervention--0074,197,1620,3083,1493,10000,630,1000,3859,1716,3976,1,2604,3382,2066,5935,9422,214149,3554,1232,3278
intervention--0075,218,1574,3014,1545,10000,546,1047,3828,1784,3835,1,2665,3271,1931,5994,9439,213774,3460,1180,3329
intervention--0076,204,1522,2990,1483,10000,595,955,3891,1663,3983,1,2639,3306,1912,6005,9390,212706,3393,1151,3326
intervention--0077,228,1531,3123,1529,10000,579,975,3843,1734,3935,1,2649,3380,2018,5941,9384,213184,3499,1256,3414
intervention--0078,176,1563,3063,1543,10000,608,1039,3853,1766,4035,1,2685,3329,1975,5984,9406,213282,3566,1269,3401
intervention--0079,204,1515,3070,1515,10000,599,939,3790,1730,3909,1,2627,3248,2036,5881,9407,212926,3346,1276,3320
intervention--0080,175,1576,3000,1516,10000,581,1019,3780,1702,4040,1,2609,3310,2001,5977,9413,213151,3466,1271,3305
intervention--0081,177,1575,3048,1581,10000,587,1069,3794,1723,3920,1,2659,3274,1953,5930,9410,213006,3367,1191,3231
intervention--0082,203,1579,3046,1468,10000,542,995,3799,1692,3989,1,2661,3280,2060,5938,9384,214021,3512,1299,3288
intervention--0083,168,1531,2960,1470,10000,573,1037,3727,1706,3998,1,2659,3305,1952,5935,9408,214122,3337,1233,3287
intervention--0084,200,1648,3026,1502,10000,604,1028,3804,1620,4028,1,2692,3390,1991,5987,9381,213413,3496,1223,3271
intervention--0085,190,1605,2977,1539,10000,576,982,3809,1636,3883,1,2570,3386,2016,5908,9417,212782,3608,1214,3327
intervention--0086,211,1547,3120,1581,10000,566,1077,3889,1699,4057,1,2720,3413,1984,5965,9441,214693,3656,1099,3314
intervention--0087,181,1532,3018,1499,10000,559,1018,3845,1666,4033,1,2660,3377,2052,5969,9432,213800,3476,1116,3361
intervention--0088,211,1621,2976,1477,10000,588,1048,3783,1674,4097,1,2609,3325,2005,5984,9434,213883,3597,1218,3383
intervention--0089,206,1544,3072,1532,10000,598,1028,3746,1737,4011,1,2646,3418,1922,6044,9413,214170,3433,1239,3350
intervention--0090,215,1598,3065,1523,10000,595,970,3832,1613,4000,1,2646,3296,2054,6000,9380,213714,3570,1267,3348
intervention--0091,199,1602,3064,1543,10000,602,978,3853,1702,3868,1,2556,3327,1970,5978,9398,213233,3430,1211,3257
intervention--0092,198,1542,3076,1539,10000,580,1065,3810,1734,3988,1,2621,3402,1972,6039,9423,214171,3481,1253,3266
intervention--0093,198,1557,3015,1550,10000,588,963,3820,1664,3989,1,2578,3346,2000,5923,9404,212319,3389,1181,3344
intervention--0094,202,1588,3071,1485,10000,605,977,3798,1727,3966,1,2623,3297,2022,5973,9446,213288,3559,1214,3293
intervention--0095,204,1588,3128,1525,10000,602,994,3875,1720,3948,1,2664,3322,1951,5968,9368,213190,3501,1183,3242
intervention--0096,225,1613,2987,1564,10000,582,952,3760,1726,3928,1,2590,3249,2098,6018,9437,213972,3581,1265,3315
intervention--0097,235,1589,3009,1538,10000,589,949,3906,1766,4025,1,2632,3341,2053,6125,9461,215731,3443,1170,3403
intervention--0098,206,1585,3045,1524,10000,550,1018,3775,1749,4056,1,2619,3295,1990,6036,9409,213102,3431,1207,3409
intervention--0099,210,1605,3018,1520,10000,629,978,3822,1705,3994,1,2709,3368,2030,5946,9432,214492,3615,1198,3361
intervention--0100,158,1561,2982,1484,10000,589,1003,3806,1707,3890,1,2680,3399,1960,5921,9399,213390,3439,1220,3361
non-intervention--0001,265,1746,3128,1738,10000,682,1088,3905,1898,4313,0,2894,3935,2270,6338,9410,205195,4023,1356,3469
non-intervention--0002,283,1705,3081,1673,10000,621,1073,3796,1848,4350,0,2877,3926,2314,6403,9411,204395,4024,1421,3519
non-intervention--0003,275,1770,3111,1714,10000,673,1064,3899,1794,4418,0,2928,4013,2267,6282,9392,204839,3926,1431,3486
non-intervention--0004,291,1688,3082,1662,10000,634,1026,3859,1795,4338,0,2912,3860,2264,6364,9428,205410,3874,1463,3534
non-intervention--0005,337,1682,3119,1669,10000,637,1026,3842,1871,4468,0,2967,3931,2284,6434,9405,203829,3897,1393,3645
non-intervention--0006,292,1766,3181,1688,10000,670,1103,3912,1831,4530,0,2873,3910,2333,6283,9418,206533,4042,1383,3569
non-intervention--0007,285,1758,3106,1747,10000,661,1145,3889,1790,4473,0,2897,4006,2215,6365,9417,204641,4030,1401,3561
non-intervention--0008,277,1749,3117,1712,10000,665,1073,3921,1774,4413,0,2940,3951,2327,6341,9396,202844,4097,1410,3632
non-intervention--0009,288,1695,3143,1647,10000,686,1024,3874,1782,4395,0,2866,3939,2252,6313,9301,203400,3928,1437,3372
non-intervention--0010,278,1702,3082,1786,10000,657,1053,3876,1780,4472,0,2852,3938,2238,6352,9420,204827,3891,1400,3638
non-intervention--0011,274,1666,3138,1691,10000,681,1062,3885,1707,4235,0,2905,3934,2207,6227,9402,202938,3878,1381,3510
non-intervention--0012,303,1728,3103,1723,10000,634,1063,3824,1854,4437,0,2928,3918,2258,6315,9396,202643,3967,1383,3575
non-intervention--0013,309,1691,3218,1743,10000,656,1073,3920,1842,4440,0,2895,3905,2268,6342,9441,203961,3990,1459,3607
