run,year,cumulative cost_non_intervention_by_person,cumulative cost_intervention_by_person,cumulative cost_increment_by_person,cumulative qaly_non_intervention_by_person,cumulative qaly_intervention_by_person,cumulative qaly_increment_by_person,icer
0089,38,148377.1959,149951.1606,1573.9647,10.323421869999999,10.761702340000001,0.4382804700000037,3591.23
0089,39,148556.8193,150147.8173,1590.998,10.32925549,10.76878791,0.4395324200000032,3619.75
0090,1,6792.3091,6825.1254,32.8163,0.79190228,0.7923330399999999,0.0004307600000000093,76182.33
0090,2,13567.4648,13596.256,28.7912,1.5373124599999999,1.5408269399999999,0.003514480000000185,8192.16
0090,3,20691.8422,20581.7441,-110.0981,2.24710677,2.25510815,0.008001380000000063,-13759.89
0090,4,27749.8459,27541.3647,-208.4812,2.91294159,2.92818617,0.015244580000000132,-13675.76
0090,5,34788.4385,34471.3002,-317.1383,3.53566374,3.5607731200000003,0.025109380000000237,-12630.27
0090,6,41787.6884,41401.1019,-386.5865,4.12486317,4.16104973,0.036186560000000464,-10683.15
0090,7,48759.69,48276.6069,-483.0831,4.67455443,4.7224898500000005,0.04793542000000089,-10077.79
0090,8,55496.1463,54980.0544,-516.0919,5.19168544,5.2534408,0.061755360000000654,-8357.04
0090,9,62185.6479,61658.3969,-527.251,5.67779144,5.75312746,0.075336020000001,-6998.66
0090,10,68604.1335,67999.2912,-604.8423,6.12725365,6.21754128,0.09028763000000108,-6699.06
0090,11,74863.6033,74221.0559,-642.5474,6.5469249000000005,6.65227759,0.10535269000000116,-6099.01
0090,12,80910.4109,80246.0701,-664.3408,6.93787304,7.05872533,0.12085229000000108,-5497.13
0090,13,86803.0274,86161.2287,-641.7987,7.302168730000001,7.43781213,0.13564340000000083,-4731.51
0090,14,92462.2294,91859.6957,-602.5337,7.638887540000001,7.789315360000001,0.15042782000000152,-4005.47
0090,15,97862.3062,97297.235,-565.0712,7.94873573,8.11435147,0.1656157400000011,-3411.94
0090,16,103043.5157,102529.7061,-513.8096,8.2328077,8.41395969,0.1811519900000014,-2836.35
0090,17,108113.4482,107615.7796,-497.6686,8.49589334,8.692420879999998,0.1965275400000013,-2532.31
0090,18,112834.4301,112349.7003,-484.7298,8.73274804,8.94550385,0.21275581000000093,-2278.34
0090,19,117224.746,116835.4157,-389.3303,8.94611583,9.17454563,0.228429800000001,-1704.38
0090,20,121284.5179,120971.2679,-313.25,9.13779513,9.38142912,0.24363399000000063,-1285.74
0090,21,125067.8602,124880.111,-187.7492,9.31174108,9.57057535,0.2588342700000008,-725.36
0090,22,128545.2842,128435.9588,-109.3254,9.4660707,9.73799571,0.27192501000000047,-402.04
0090,23,131756.2808,131685.1789,-71.1019,9.603110000000001,9.8894587,0.28634870000000084,-248.31
0090,24,134595.3105,134695.2232,99.9127,9.722489569999999,10.02286244,0.3003728700000007,332.63
0090,25,137182.8576,137460.2993,277.4417,9.82844655,10.14141701,0.31297046000000117,886.48
0090,26,139485.5262,139940.8352,455.309,9.91938183,10.24427337,0.32489154000000126,1401.42
0090,27,141544.1677,142090.6547,546.487,9.99900755,10.33329333,0.33428578000000125,1634.79
0090,28,143390.4345,143973.1784,582.7439,10.0681577,10.409901510000001,0.34174381000000137,1705.21
0090,29,144930.2116,145568.6394,638.4278,10.12548617,10.47428092,0.34879475000000093,1830.38
0090,30,146271.4684,146936.3441,664.8757,10.17401228,10.5289743,0.3549620200000005,1873.09
0090,31,147400.5999,148108.0577,707.4578,10.21458312,10.57483882,0.36025570000000007,1963.77
