group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0033,53,3740,1977,379,3809,5227,2844,2910,1604,890,1789,1264,896,3449,1606,2778,8759,3170,9954,46
intervention--0033,54,3740,1979,379,3809,5228,2846,2912,1604,890,1789,1264,897,3449,1610,2778,8759,3171,9968,32
intervention--0033,55,3740,1980,379,3809,5228,2846,2914,1604,890,1789,1264,898,3449,1610,2778,8759,3171,9973,27
intervention--0033,56,3742,1980,379,3809,5228,2846,2914,1605,891,1789,1264,898,3451,1610,2778,8759,3171,9980,20
intervention--0033,57,3742,1980,379,3809,5228,2846,2914,1605,891,1789,1264,899,3452,1611,2779,8759,3172,9986,14
intervention--0033,58,3742,1980,379,3809,5228,2846,2914,1605,891,1789,1264,900,3452,1611,2779,8759,3172,9992,8
intervention--0033,59,3742,1980,379,3809,5228,2846,2915,1605,891,1789,1264,900,3452,1611,2779,8759,3172,9993,7
intervention--0033,60,3742,1980,379,3809,5228,2846,2915,1605,891,1789,1264,900,3452,1612,2779,8759,3173,9993,7
intervention--0033,61,3742,1980,379,3809,5228,2846,2915,1605,891,1789,1264,900,3452,1612,2779,8759,3173,9995,5
intervention--0033,62,3742,1980,379,3809,5228,2846,2915,1605,891,1789,1264,900,3452,1612,2779,8759,3173,9995,5
intervention--0033,63,3742,1980,379,3809,5228,2846,2915,1605,891,1789,1264,900,3452,1612,2779,8759,3173,9995,5
intervention--0033,64,3742,1980,379,3809,5229,2846,2916,1605,891,1789,1264,901,3452,1612,2779,8759,3173,9997,3
intervention--0033,65,3742,1980,379,3809,5229,2846,2916,1605,891,1789,1264,902,3452,1612,2779,8759,3173,9997,3
intervention--0033,66,3742,1980,379,3809,5230,2846,2916,1605,891,1789,1264,902,3452,1612,2779,8759,3173,9998,2
intervention--0033,67,3742,1980,379,3809,5230,2846,2916,1605,891,1789,1264,902,3452,1612,2779,8759,3173,9999,1
intervention--0033,68,3742,1980,379,3809,5230,2846,2916,1605,891,1789,1264,902,3452,1612,2779,8759,3173,10000,0
non-intervention--0038,1,192,37,2,39,265,71,83,90,23,5,65,3,121,15,117,1056,193,267,9733
non-intervention--0038,2,362,87,6,117,567,170,173,165,56,15,122,12,297,29,257,2197,338,505,9495
non-intervention--0038,3,515,158,13,199,887,286,277,230,78,40,173,17,488,55,383,3250,485,763,9237
non-intervention--0038,4,664,225,20,281,1199,411,356,300,105,61,234,32,688,83,504,4113,649,988,9012
non-intervention--0038,5,825,280,27,391,1471,523,455,365,141,91,286,43,879,112,643,4859,808,1241,8759
non-intervention--0038,6,984,351,35,493,1774,655,543,418,174,140,332,61,1039,148,751,5481,942,1487,8513
non-intervention--0038,7,1127,433,44,605,2028,754,667,476,201,180,380,74,1208,180,847,6018,1088,1740,8260
non-intervention--0038,8,1268,498,55,741,2318,879,765,540,239,226,419,89,1369,222,963,6451,1229,2004,7996
non-intervention--0038,9,1395,572,64,898,2580,999,875,590,266,290,468,111,1534,268,1063,6788,1378,2272,7728
non-intervention--0038,10,1545,652,71,1030,2826,1111,986,648,305,343,535,133,1688,309,1164,7113,1494,2531,7469
non-intervention--0038,11,1671,725,83,1183,3051,1236,1087,697,350,391,582,160,1824,346,1271,7367,1626,2790,7210
non-intervention--0038,12,1819,801,91,1350,3258,1344,1183,743,385,481,641,189,1945,403,1380,7572,1735,3060,6940
non-intervention--0038,13,1938,885,107,1504,3434,1429,1295,800,411,561,686,222,2077,471,1479,7739,1847,3372,6628
non-intervention--0038,14,2068,953,124,1651,3619,1534,1403,848,444,605,728,248,2193,530,1585,7876,1954,3657,6343
non-intervention--0038,15,2195,1033,140,1806,3791,1638,1490,901,471,663,757,279,2297,598,1680,8009,2057,3919,6081
non-intervention--0038,16,2318,1099,150,1960,3942,1737,1579,944,502,727,795,306,2384,655,1757,8105,2150,4199,5801
non-intervention--0038,17,2448,1174,164,2114,4084,1837,1662,1007,537,805,839,343,2491,711,1861,8194,2240,4491,5509
non-intervention--0038,18,2561,1237,170,2281,4215,1915,1756,1046,562,879,873,380,2574,776,1954,8258,2330,4798,5202
non-intervention--0038,19,2664,1309,178,2397,4318,1985,1839,1083,596,933,908,411,2645,829,2019,8321,2399,5111,4889
non-intervention--0038,20,2751,1355,192,2536,4420,2062,1924,1129,621,999,947,440,2733,879,2106,8371,2471,5421,4579
non-intervention--0038,21,2836,1403,206,2672,4510,2146,2006,1163,645,1056,973,470,2810,928,2167,8416,2540,5734,4266
non-intervention--0038,22,2920,1470,218,2774,4595,2225,2082,1188,670,1119,1000,501,2872,982,2217,8467,2613,6022,3978
non-intervention--0038,23,3006,1525,232,2888,4695,2295,2162,1224,686,1180,1025,539,2940,1046,2278,8492,2677,6324,3676
non-intervention--0038,24,3073,1580,237,2989,4762,2340,2229,1262,700,1240,1049,575,2992,1101,2335,8519,2731,6605,3395
non-intervention--0038,25,3145,1623,248,3082,4827,2391,2298,1286,713,1276,1066,609,3033,1155,2386,8543,2787,6871,3129
non-intervention--0038,26,3191,1666,262,3167,4882,2454,2356,1309,723,1322,1084,637,3082,1217,2427,8558,2831,7106,2894
non-intervention--0038,27,3241,1704,271,3245,4928,2497,2418,1335,738,1359,1102,671,3121,1270,2470,8569,2877,7352,2648
non-intervention--0038,28,3291,1740,282,3303,4968,2530,2465,1358,755,1393,1126,696,3154,1314,2508,8584,2914,7553,2447
non-intervention--0038,29,3334,1783,288,3365,5001,2567,2499,1375,769,1426,1140,724,3183,1342,2538,8592,2946,7779,2221
non-intervention--0038,30,3370,1806,296,3423,5036,2611,2552,1394,782,1458,1152,747,3215,1378,2574,8600,2982,7993,2007
non-intervention--0038,31,3397,1833,306,3483,5068,2639,2584,1408,794,1492,1169,764,3240,1407,2598,8605,3011,8211,1789
non-intervention--0038,32,3431,1852,315,3529,5094,2661,2608,1418,807,1521,1179,782,3260,1440,2625,8613,3034,8388,1612
non-intervention--0038,33,3462,1868,324,3570,5115,2676,2644,1429,817,1551,1186,802,3284,1461,2648,8614,3057,8550,1450
